Extended,smoking_rate
"Adair County, KY",0.276818951
"Allen County, KY",0.267029973
"Anderson County, KY",0.259960441
"Ballard County, KY",0.304681504
"Barren County, KY",0.210230633
"Bath County, KY",0.328557784
"Bell County, KY",0.337677334
"Boone County, KY",0.188982103
"Bourbon County, KY",0.273860096
"Boyd County, KY",0.249370277
"Boyle County, KY",0.254914668
"Bracken County, KY",0.360221675
"Breathitt County, KY",0.390508475
"Breckinridge County, KY",0.329403606
"Bullitt County, KY",0.266574839
"Butler County, KY",0.319290466
"Caldwell County, KY",0.293315143
"Calloway County, KY",0.257207115
"Campbell County, KY",0.265431451
"Carlisle County, KY",0.254739336
"Carroll County, KY",0.35250987
"Carter County, KY",0.30104712
"Casey County, KY",0.257581039
"Christian County, KY",0.171829689
"Clark County, KY",0.275417661
"Clay County, KY",0.394083575
"Clinton County, KY",0.263912794
"Crittenden County, KY",0.233023588
"Cumberland County, KY",0.308186196
"Daviess County, KY",0.260298445
"Edmonson County, KY",0.31555306
"Elliott County, KY",0.355901189
"Estill County, KY",0.314756397
"Fayette County, KY",0.180284175
"Fleming County, KY",0.317708333
"Floyd County, KY",0.315326778
"Franklin County, KY",0.277854038
"Fulton County, KY",0.282085561
"Gallatin County, KY",0.342707652
"Garrard County, KY",0.258244111
"Grant County, KY",0.325346784
"Graves County, KY",0.257761194
"Grayson County, KY",0.359400231
"Green County, KY",0.281407035
"Greenup County, KY",0.226559893
"Hancock County, KY",0.269516729
"Hardin County, KY",0.25243584
"Harlan County, KY",0.352351916
"Harrison County, KY",0.311643836
"Hart County, KY",0.250393205
"Henderson County, KY",0.151169041
"Henry County, KY",0.323938761
"Hickman County, KY",0.296855346
"Hopkins County, KY",0.279649596
"Jackson County, KY",0.362741075
"Jefferson County, KY",0.219653628
"Jessamine County, KY",0.23387401
"Johnson County, KY",0.299563319
"Kenton County, KY",0.260665148
"Knott County, KY",0.320172528
"Knox County, KY",0.359092257
"Larue County, KY",0.276765882
"Laurel County, KY",0.305306751
"Lawrence County, KY",0.332124728
"Lee County, KY",0.412864622
"Leslie County, KY",0.379741727
"Letcher County, KY",0.238660907
"Lewis County, KY",0.343773585
"Lincoln County, KY",0.306048204
"Livingston County, KY",0.269367448
"Logan County, KY",0.238922842
"Lyon County, KY",0.2514828
"McCracken County, KY",0.248021343
"McCreary County, KY",0.341939185
"McLean County, KY",0.285792649
"Madison County, KY",0.246586155
"Magoffin County, KY",0.323508772
"Marion County, KY",0.293771044
"Marshall County, KY",0.301400813
"Martin County, KY",0.360465116
"Mason County, KY",0.350940018
"Meade County, KY",0.289020604
"Menifee County, KY",0.353703704
"Mercer County, KY",0.273135445
"Metcalfe County, KY",0.250946458
"Monroe County, KY",0.247982063
"Montgomery County, KY",0.259159964
"Morgan County, KY",0.331538807
"Muhlenberg County, KY",0.297704573
"Nelson County, KY",0.244124231
"Nicholas County, KY",0.302891933
"Ohio County, KY",0.30624235
