County,Per.capita.income
"Autauga County, AL",11182
"Baldwin County, AL",12275
"Barbour County, AL",9515
"Bibb County, AL",8973
"Blount County, AL",10168
"Bullock County, AL",6922
"Butler County, AL",7903
"Calhoun County, AL",10704
"Chambers County, AL",10000
"Cherokee County, AL",9915
"Chilton County, AL",9826
"Choctaw County, AL",9622
"Clarke County, AL",9031
"Clay County, AL",9533
"Cleburne County, AL",9876
"Coffee County, AL",11286
"Colbert County, AL",11425
"Conecuh County, AL",7953
"Coosa County, AL",9234
"Covington County, AL",9315
"Crenshaw County, AL",8848
"Cullman County, AL",10447
"Dale County, AL",10580
"Dallas County, AL",8344
"DeKalb County, AL",9604
"Elmore County, AL",10677
"Escambia County, AL",8858
"Etowah County, AL",10997
"Fayette County, AL",9864
"Franklin County, AL",9049
"Geneva County, AL",9768
"Greene County, AL",6306
"Hale County, AL",8164
"Henry County, AL",9909
"Houston County, AL",12118
"Jackson County, AL",10144
"Jefferson County, AL",13277
"Lamar County, AL",9945
"Lauderdale County, AL",11685
"Lawrence County, AL",9800
"Lee County, AL",11409
"Limestone County, AL",11696
"Lowndes County, AL",6848
"Macon County, AL",7534
"Madison County, AL",15443
"Marengo County, AL",9242
"Marion County, AL",9645
"Marshall County, AL",10793
"Mobile County, AL",11158
"Monroe County, AL",9299
"Montgomery County, AL",12806
"Morgan County, AL",12830
"Perry County, AL",6879
"Pickens County, AL",8564
"Pike County, AL",9423
"Randolph County, AL",9092
"Russell County, AL",9675
"St. Clair County, AL",10596
"Shelby County, AL",16237
"Sumter County, AL",8031
"Talladega County, AL",9700
"Tallapoosa County, AL",10878
"Tuscaloosa County, AL",11406
"Walker County, AL",10105
"Washington County, AL",8340
"Wilcox County, AL",6552
"Winston County, AL",9349
"Aleutians East Borough, AK",17242
"Aleutians West Census Area, AK",15035
"Anchorage Borough, AK",19620
"Bethel Census Area, AK",8833
"Bristol Bay Borough, AK",19123
"Dillingham Census Area, AK",12782
"Fairbanks North Star Borough, AK",15914
"Haines Borough, AK",16204
"Juneau Borough, AK",19920
"Kenai Peninsula Borough, AK",18173
"Ketchikan Gateway Borough, AK",18789
"Kodiak Island Borough, AK",19979
"Lake and Peninsula Borough, AK",11560
"Matanuska-Susitna Borough, AK",15898
"Nome Census Area, AK",10701
"North Slope Borough, AK",18231
"Northwest Arctic Borough, AK",10040
"Prince of Wales-Outer Ketchikan Census $15,510",211
"Sitka Borough, AK",16962
"Skagway-Yakutat-Angoon Census Area, AK $15,463",216
"Southeast Fairbanks Census Area, AK",12505
"Valdez-Cordova Census Area, AK",22772
"Wade Hampton Census Area, AK",6519
"Wrangell-Petersburg Census Area, AK",19012
"Yukon-Koyukuk Census Area, AK",11554
"Apache County, AZ",5399
"Cochise County, AZ",10716
"Coconino County, AZ",10580
"Gila County, AZ",10297
"Graham County, AZ",8955
"Greenlee County, AZ",9794
"La Paz County, AZ",9240
"Maricopa County, AZ",14970
"Mohave County, AZ",11933
"Navajo County, AZ",7586
"Pima County, AZ",13177
"Pinal County, AZ",9228
"Santa Cruz County, AZ",9007
"Yavapai County, AZ",12657
"Yuma County, AZ",10428
"Arkansas County, AR",11169
"Ashley County, AR",9696
"Baxter County, AR",10648
"Benton County, AR",12274
"Boone County, AR",10129
"Bradley County, AR",8824
"Calhoun County, AR",9464
"Carroll County, AR",10176
"Chicot County, AR",7452
"Clark County, AR",9001
"Clay County, AR",9018
"Cleburne County, AR",10039
"Cleveland County, AR",9025
"Columbia County, AR",9425
"Conway County, AR",9126
"Craighead County, AR",11301
"Crawford County, AR",9689
"Crittenden County, AR",9334
"Cross County, AR",8897
"Dallas County, AR",9101
"Desha County, AR",8428
"Drew County, AR",9114
"Faulkner County, AR",10141
"Franklin County, AR",8877
"Fulton County, AR",8240
"Garland County, AR",11873
"Grant County, AR",10344
"Greene County, AR",9757
"Hempstead County, AR",8583
"Hot Spring County, AR",9164
"Howard County, AR",9563
"Independence County, AR",10493
"Izard County, AR",8852
"Jackson County, AR",8984
"Jefferson County, AR",9852
"Johnson County, AR",8924
"Lafayette County, AR",7573
"Lawrence County, AR",8231
"Lee County, AR",6582
"Lincoln County, AR",7899
"Little River County, AR",9942
"Logan County, AR",8283
"Lonoke County, AR",10273
"Madison County, AR",8548
"Marion County, AR",9339
"Miller County, AR",9663
"Mississippi County, AR",8691
"Monroe County, AR",7587
"Montgomery County, AR",8343
"Nevada County, AR",9666
"Newton County, AR",7114
"Ouachita County, AR",9974
"Perry County, AR",8848
"Phillips County, AR",6692
"Pike County, AR",9220
"Poinsett County, AR",8792
"Polk County, AR",8884
"Pope County, AR",10347
"Prairie County, AR",8642
"Pulaski County, AR",13760
"Randolph County, AR",8219
"St. Francis County, AR",7194
"Saline County, AR",11677
"Scott County, AR",8360
"Searcy County, AR",7209
"Sebastian County, AR",12361
"Sevier County, AR",9060
"Sharp County, AR",8578
"Stone County, AR",7679
"Union County, AR",10617
"Van Buren County, AR",8706
"Washington County, AR",11625
"White County, AR",9902
"Woodruff County, AR",7583
"Yell County, AR",9400
"Alameda County, CA",17547
"Alpine County, CA",13799
"Amador County, CA",14282
"Butte County, CA",12083
"Calaveras County, CA",13497
"Colusa County, CA",12402
"Contra Costa County, CA",20748
"Del Norte County, CA",10625
"El Dorado County, CA",15703
"Fresno County, CA",11824
"Glenn County, CA",10677
"Humboldt County, CA",12436
"Imperial County, CA",9208
"Inyo County, CA",13397
"Kern County, CA",12154
"Kings County, CA",10035
"Lake County, CA",11705
"Lassen County, CA",12626
"Los Angeles County, CA",16149
"Madera County, CA",10856
"Marin County, CA",28381
"Mariposa County, CA",13074
"Mendocino County, CA",12776
"Merced County, CA",10606
"Modoc County, CA",10971
"Mono County, CA",16120
"Monterey County, CA",14578
"Napa County, CA",17640
"Nevada County, CA",15760
"Orange County, CA",19890
"Placer County, CA",17311
"Plumas County, CA",12952
"Riverside County, CA",14510
"Sacramento County, CA",15265
"San Benito County, CA",13933
"San Bernardino County, CA",13358
"San Diego County, CA",16220
"San Francisco County, CA",19695
"San Joaquin County, CA",12705
"San Luis Obispo County, CA",15237
"San Mateo County, CA",22430
"Santa Barbara County, CA",17155
"Santa Clara County, CA",20423
"Santa Cruz County, CA",17347
"Shasta County, CA",12381
"Sierra County, CA",13731
"Siskiyou County, CA",11610
"Solano County, CA",14833
"Sonoma County, CA",17239
"Stanislaus County, CA",12731
"Sutter County, CA",12763
"Tehama County, CA",10990
"Trinity County, CA",10781
"Tulare County, CA",10302
"Tuolumne County, CA",13224
"Ventura County, CA",17861
"Yolo County, CA",13861
"Yuba County, CA",9874
"Adams County, CO",12615
"Alamosa County, CO",9286
"Arapahoe County, CO",18777
"Archuleta County, CO",10913
"Baca County, CO",9571
"Bent County, CO",9170
"Boulder County, CO",17359
"Chaffee County, CO",10788
"Cheyenne County, CO",11382
"Clear Creek County, CO",16196
"Conejos County, CO",6664
"Costilla County, CO",7057
"Crowley County, CO",6978
"Custer County, CO",11309
"Delta County, CO",9586
"Denver County, CO",15590
"Dolores County, CO",9784
"Douglas County, CO",21002
"Eagle County, CO",18202
"Elbert County, CO",14566
"El Paso County, CO",13664
"Fremont County, CO",9971
"Garfield County, CO",13086
"Gilpin County, CO",15267
"Grand County, CO",13457
"Gunnison County, CO",11516
"Hinsdale County, CO",12978
"Huerfano County, CO",8212
"Jackson County, CO",10858
"Jefferson County, CO",17310
"Kiowa County, CO",10305
"Kit Carson County, CO",11385
"Lake County, CO",11269
"La Plata County, CO",12163
"Larimer County, CO",13968
"Las Animas County, CO",8934
"Lincoln County, CO",10052
