ADMIN_NAME,ADMIN_FIPS,STATE,STATE_FIPS,NAME,SUFFIX,POP,SQ_MILES,PRIM_MILES,Mining,Total Operations Area sq Miles,Fraction Mining Operations
Pike County,21195,KY,21,Pike,County,57369,785.6969497,170.4516329,Mining,454.503,0.578471127
Harlan County,21095,KY,21,Harlan,County,3423,467.9992674,123.0049182,Mining,226.428,0.48382127
Knott County,21119,KY,21,Knott,County,16346,352.9846107,101.6022403,Mining,195.649,0.554270623
Perry County,21193,KY,21,Perry,County,7915,342.7169986,156.9947422,Mining,180.79,0.527519793
Letcher County,21133,KY,21,Letcher,County,24519,339.1253432,116.2582833,Mining,156.277,0.460823713
Leslie County,21131,KY,21,Leslie,County,11310,404.3425307,109.8339119,Mining,150.598,0.372451544
Floyd County,21071,KY,21,Floyd,County,15279,395.420098,122.4335734,Mining,144.962,0.366602509
Boone County,54005,WV,54,Boone,County,24629,502.6974623,156.5242247,Mining,116.731,0.232209249
Martin County,21159,KY,21,Martin,County,4799,230.6865113,90.32918583,Mining,110.705,0.479893685
Bell County,21013,KY,21,Bell,County,310235,361.1615354,105.301379,Mining,102.449,0.283665313
Breathitt County,21025,KY,21,Breathitt,County,13878,495.2666643,143.9327116,Mining,97.118,0.196092342
Logan County,54045,WV,54,Logan,County,36743,455.6554041,140.2374378,Mining,87.595,0.192239572
Mingo County,54059,WV,54,Mingo,County,26839,427.6161269,157.6716112,Mining,80.305,0.18779694
Whitley County,21235,KY,21,Whitley,County,35637,445.3814888,112.4381627,Mining,62.827,0.141063339
Knox County,21121,KY,21,Knox,County,3719,387.3355642,111.6456299,Mining,55.502,0.143291774
Kanawha County,54039,WV,54,Kanawha,County,193063,910.7632421,189.0582818,Mining,54.745,0.060108926
Wise County,51195,VA,51,Wise,County,41452,405.2043405,134.8612879,Mining,53.411,0.131812507
Nicholas County,54067,WV,54,Nicholas,County,26233,654.1148508,145.6524887,Mining,50.489,0.077186751
Magoffin County,21153,KY,21,Magoffin,County,13333,309.391323,106.1029688,Mining,47.851,0.154661739
Raleigh County,54081,WV,54,Raleigh,County,78859,607.8631574,145.383887,Mining,40.452,0.066547873
McDowell County,54047,WV,54,McDowell,County,22113,535.1229942,127.1014506,Mining,39.062,0.072996303
Johnson County,21115,KY,21,Johnson,County,8569,263.8892016,91.39947484,Mining,37.603,0.14249541
Lawrence County,21127,KY,21,Lawrence,County,41869,419.9415246,120.8923121,Mining,36.629,0.087224049
Clay County,21051,KY,21,Clay,County,9386,470.9323238,120.0046173,Mining,34.797,0.073889598
Wyoming County,54109,WV,54,Wyoming,County,23796,501.8356442,133.9346054,Mining,33.929,0.067609785
Campbell County,47013,TN,47,Campbell,County,46133,495.1738169,121.4281279,Mining,33.871,0.068402244
Fayette County,54019,WV,54,Fayette,County,46039,669.6651339,139.7309047,Mining,32.853,0.049058848
Buchanan County,51027,VA,51,Buchanan,County,24098,503.5638599,130.9939946,Mining,27.384,0.054380392
Laurel County,21125,KY,21,Laurel,County,58849,442.5792821,136.9266846,Mining,25.836,0.058375982
Claiborne County,47025,TN,47,Claiborne,County,32213,443.190996,117.2677968,Mining,21.842,0.049283492
Scott County,47151,TN,47,Scott,County,23177,533.4871881,117.4910689,Mining,21.119,0.039586705
Webster County,54101,WV,54,Webster,County,9154,556.1465495,103.7499715,Mining,19.268,0.034645544
Greenbrier County,54025,WV,54,Greenbrier,County,35480,1024.275725,177.1444255,Mining,19.114,0.018660991
Monongalia County,54061,WV,54,Monongalia,County,96189,365.7419776,101.0124081,Mining,17.42,0.047629206
Morgan County,21175,KY,21,Morgan,County,17541,383.8342715,130.0453836,Mining,15.607,0.040660778
Elliott County,21063,KY,21,Elliott,County,7852,235.2938313,88.71526169,Mining,15.546,0.06607058
Greenup County,21089,KY,21,Greenup,County,36910,352.6429546,95.32651366,Mining,15.523,0.044019028
Owsley County,21189,KY,21,Owsley,County,4755,198.3613678,88.4294689,Mining,15.489,0.078084761
Anderson County,47001,TN,47,Anderson,County,58458,344.8086335,111.0179383,Mining,15.44,0.044778461
Dickenson County,51051,VA,51,Dickenson,County,15903,333.7370786,81.63716502,Mining,15.045,0.045080397
Preston County,54077,WV,54,Preston,County,33520,652.0687989,110.3198875,Mining,14.116,0.021648022
Lincoln County,54043,WV,54,Lincoln,County,18106,439.262579,141.9600557,Mining,13.52,0.030778857
Clay County,54015,WV,54,Clay,County,9386,343.8261794,82.61864903,Mining,12.047,0.035038053
McCreary County,21147,KY,21,McCreary,County,18306,430.8487655,115.6871337,Mining,11.156,0.025893076
Grant County,54023,WV,54,Grant,County,51208,480.3635911,124.8537496,Mining,11.126,0.023161622
Fentress County,47049,TN,47,Fentress,County,17959,499.0403152,113.0598783,Mining,10.592,0.021224738
Sequatchie County,47153,TN,47,Sequatchie,County,14112,266.0228006,89.35034066,Mining,10.277,0.038632027
