County,State,Extended,InDSpaper
Mingo,WV,"Mingo County, WV",1
McDowell,WV,"McDowell County, WV",1
Logan,WV,"Logan County, WV",1
Boone,WV,"Boone County, WV",1
Raleigh,WV,"Raleigh County, WV",1
Kanawha,WV,"Kanawha County, WV",1
Fayette,WV,"Fayette County, WV",1
Clay,WV,"Clay County, WV",1
Nicholas,WV,"Nicholas County, WV",1
Lincoln ,WV,"Lincoln County, WV",1
Webster,WV,"Webster County, WV",1
Wyoming,WV,"Wyoming County, WV",1
Wise,VA,"Wise County, VA",1
Dickenson,VA,"Dickenson County, VA",0
Buchanan,VA,"Buchanan County, VA",0
Whitley,KY,"Whitley County, KY",0
Knox,KY,"Knox County, KY",0
Bell,KY,"Bell County, KY",1
Harlan,KY,"Harlan County, KY",1
Leslie,KY,"Leslie County, KY",1
Letcher,KY,"Letcher County, KY",1
Perry,KY,"Perry County, KY",1
Knott,KY,"Knott County, KY",1
Breathitt,KY,"Breathitt County, KY",1
Pike,KY,"Pike County, KY",1
Floyd,KY,"Floyd County, KY",1
Martin,KY,"Martin County, KY",1
Johnson,KY,"Johnson County, KY",0
